Dates,Prices
2020-10-31,1.010496E+01
2020-11-01,1.011832E+01
2020-11-02,1.013168E+01
2020-11-03,1.014505E+01
2020-11-04,1.015841E+01
2020-11-05,1.017177E+01
2020-11-06,1.018512E+01
2020-11-07,1.019845E+01
2020-11-08,1.021177E+01
2020-11-09,1.022507E+01
2020-11-10,1.023834E+01
2020-11-11,1.025159E+01
2020-11-12,1.026481E+01
2020-11-13,1.027799E+01
2020-11-14,1.029113E+01
2020-11-15,1.030423E+01
2020-11-16,1.031729E+01
2020-11-17,1.033030E+01
2020-11-18,1.034326E+01
2020-11-19,1.035617E+01
2020-11-20,1.036901E+01
2020-11-21,1.038180E+01
2020-11-22,1.039452E+01
2020-11-23,1.040717E+01
2020-11-24,1.041975E+01
2020-11-25,1.043226E+01
2020-11-26,1.044468E+01
2020-11-27,1.045703E+01
2020-11-28,1.046929E+01
2020-11-29,1.048147E+01
2020-11-30,1.049355E+01
2020-12-01,1.050554E+01
2020-12-02,1.051743E+01
2020-12-03,1.052922E+01
2020-12-04,1.054091E+01
2020-12-05,1.055250E+01
2020-12-06,1.056397E+01
2020-12-07,1.057533E+01
2020-12-08,1.058658E+01
2020-12-09,1.059771E+01
2020-12-10,1.060872E+01
2020-12-11,1.061960E+01
2020-12-12,1.063036E+01
2020-12-13,1.064099E+01
2020-12-14,1.065149E+01
2020-12-15,1.066185E+01
2020-12-16,1.067208E+01
2020-12-17,1.068217E+01
2020-12-18,1.069211E+01
2020-12-19,1.070191E+01
2020-12-20,1.071157E+01
2020-12-21,1.072107E+01
2020-12-22,1.073042E+01
2020-12-23,1.073962E+01
2020-12-24,1.074866E+01
2020-12-25,1.075754E+01
2020-12-26,1.076626E+01
2020-12-27,1.077482E+01
2020-12-28,1.078321E+01
2020-12-29,1.079144E+01
2020-12-30,1.079950E+01
2020-12-31,1.080738E+01
2021-01-01,1.081510E+01
2021-01-02,1.082263E+01
2021-01-03,1.083000E+01
2021-01-04,1.083718E+01
2021-01-05,1.084418E+01
2021-01-06,1.085100E+01
2021-01-07,1.085764E+01
2021-01-08,1.086409E+01
2021-01-09,1.087036E+01
2021-01-10,1.087644E+01
2021-01-11,1.088233E+01
2021-01-12,1.088803E+01
2021-01-13,1.089354E+01
2021-01-14,1.089886E+01
2021-01-15,1.090398E+01
2021-01-16,1.090890E+01
2021-01-17,1.091364E+01
2021-01-18,1.091817E+01
2021-01-19,1.092251E+01
2021-01-20,1.092665E+01
2021-01-21,1.093058E+01
2021-01-22,1.093432E+01
2021-01-23,1.093786E+01
2021-01-24,1.094120E+01
2021-01-25,1.094433E+01
2021-01-26,1.094726E+01
2021-01-27,1.094999E+01
2021-01-28,1.095252E+01
2021-01-29,1.095484E+01
2021-01-30,1.095696E+01
2021-01-31,1.095887E+01
2021-02-01,1.096059E+01
2021-02-02,1.096209E+01
2021-02-03,1.096339E+01
2021-02-04,1.096449E+01
2021-02-05,1.096539E+01
2021-02-06,1.096608E+01
2021-02-07,1.096657E+01
